Population,Field_Year,Generation,Block,Transect,Sequence,Left_Or_Right,Donor,Recipient,Plant_ID,Total_Closed_Fruits,Total_Fruits,Tot_Seed_Num_ClosedFt,Mean_Ind_Seed_Mass_mg,Mean_Seeds_per_Fruit,Lifetime_Fecundity,Stem_Biomass,Corolla_Diameter,Corolla_Area,Leaf_Area_mm2,FFD,LFD,fl_duration
Angelo,2022,G1,1,1,1,NA,AC_150,AC_200,10,3,5,18,0.997222222,6,30,19.74,26.379,436.972,95.372,5/3/22,5/13/22,10
Angelo,2022,G1,1,1,2,NA,AC_102,AC_191,5,1,4,0,NA,0,0,6.23,20.875,247.868,69.747,5/3/22,5/13/22,10
Angelo,2022,G1,1,1,3,NA,AC_177,AC_107,4,8,14,26,1.72730303,3.25,45.5,50.33,22.24,305.431,47.468,5/3/22,5/13/22,10
Angelo,2022,G1,1,1,4,NA,AC_094,AC_109,4,6,7,30,2.049027778,5,35,21.48,23.555,311.127,88.441,5/3/22,5/13/22,10
Angelo,2022,G1,1,1,5,NA,AC_150,AC_110,4,10,19,56,1.534559033,5.6,106.4,105.22,27.268,NA,57.791,5/3/22,5/13/22,10
Angelo,2022,G1,1,1,6,NA,AC_186,AC_048,4,21,30,73,1.506179844,3.476190476,104.2857143,105.9,14.48,135.878,34.442,4/21/22,5/13/22,22
Angelo,2022,G1,1,1,7,NA,AC_015,AC_190,3,7,17,35,1.625362319,5,85,43.89,24.025,336.459,14.988,4/21/22,5/13/22,22
Angelo,2022,G1,1,1,8,NA,AC_096,AC_074,6,7,8,18,1.551076923,2.571428571,20.57142857,15.85,15.81,173.247,48.056,4/21/22,5/13/22,22
Angelo,2022,G1,1,1,9,NA,AC_107,AC_130,10,2,3,7,1.732857143,3.5,10.5,NA,20.151,244.007,47.489,5/13/22,5/13/22,0
Angelo,2022,G1,1,1,10,NA,AC_207,AC_070,9,9,11,27,1.976964286,3,33,17.37,20.256,225.473,48.245,4/21/22,5/13/22,22
Angelo,2022,G1,1,1,11,NA,AC_096,AC_181,7,7,7,15,1.660277778,2.142857143,15,7.39,15.676,152.993,18.382,4/9/22,5/13/22,34
Angelo,2022,G1,1,1,12,NA,AC_054,AC_046,3,8,12,27,1.7596,3.375,40.5,NA,18.568,218.013,24.709,4/9/22,5/13/22,34
Angelo,2022,G1,1,1,13,NA,AC_052,AC_131,6,28,31,43,2.138547619,1.535714286,47.60714286,69.75,19.512,214.568,38.866,4/21/22,5/13/22,22
Angelo,2022,G1,1,1,14,NA,AC_064,AC_086,4,11,15,22,2.760454545,2,30,51.35,23.884,319.134,42.988,4/21/22,5/13/22,22
Angelo,2022,G1,1,1,15,NA,AC_068,AC_056,5,11,11,20,1.389166667,1.818181818,20,26.24,16.068,NA,41.239,4/9/22,5/13/22,34
Angelo,2022,G1,1,1,16,NA,AC_170,AC_203,2,16,16,58,1.111767677,3.625,58,NA,22.301,305.217,120.399,4/21/22,5/13/22,22
Angelo,2022,G1,1,1,17,NA,AC_165,AC_062,6,1,1,1,1.03,1,1,NA,21.473,264.316,37.37,4/9/22,5/3/22,24
Angelo,2022,G1,1,1,18,NA,AC_015,AC_097,1,45,52,182,1.446417949,4.044444444,210.3111111,271.84,21.262,258.556,15.943,4/9/22,6/8/22,60
Angelo,2022,G1,1,1,19,NA,AC_068,AC_089,10,7,7,20,1.694040404,2.857142857,20,32.71,19.738,212.986,NA,4/21/22,5/13/22,22
Angelo,2022,G1,1,1,20,NA,AC_169,AC_120,8,4,8,12,1.185625,3,24,13.33,21.57,251.321,47.139,4/21/22,5/13/22,22
Angelo,2022,G1,1,1,21,NA,AC_179,AC_136,4,3,3,7,2.025714286,2.333333333,7,12.87,18.638,230.707,21.259,4/21/22,5/13/22,22
Angelo,2022,G1,1,1,22,NA,AC_039,AC_168,5,2,2,5,1.98,2.5,5,5.57,16.584,165.989,45.35,4/9/22,5/13/22,34
Angelo,2022,G1,1,1,23,NA,AC_045,AC_151,6,5,8,14,2.263333333,2.8,22.4,13.39,16.743,160.377,37.348,4/21/22,5/13/22,22
