Isotope_Sample_ID,Transect,Segment,Recipient,Plant_ID,Gen,Sequence,Donor,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FLR_P,skel_weight_mg,Closed_fruits_F,Open_fruits_F,ALL_filled_seeds,Total_fruits_F,Mean_Seeds_per_Fruit,Estimated_Fecundity,Mean_Seed_Mass_mg,Corolla_Diameter_mm,Photo_date,Leaf_area_mm2,Leaf_dry_weight_mg,Specific_leaf_area,d13,Total_C_µg,Sample_Weight_mg
AC_005-G1-003-9L-1,3,9L,AC_005,1,G1,81,AC_156,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,2023-04-28,6.16,4,0,1,4,0.25,1,1.11,20.338,2023-04-28,34.896,2.11,16.538388625592418,-31.59,492.21,1.74
AC_005-G1-004-22L-1,4,22L,AC_005,1,G1,129,AC_156,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,2023-04-28,2.96,3,0,8,3,2.666666667,8,1.54125,20.78,2023-04-28,34.993,2.35,14.890638297872341,-32.98,559.54,1.31
AC_005-G1-005-15R-3,5,15R,AC_005,3,G1,158,AC_156,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,NA,0.8,0,0,0,0,0,0,NA,NA,NA,62.497,3.14,19.903503184713376,NA,NA,NA
AC_005-G2-001-23R-3,1,23R,AC_005,3,G2,23,AC_156,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,2023-04-28,53.28,7,0,19,7,2.714285714,19,1.646583333,18.939,2023-04-28,NA,NA,NA,-33.28,1266.44,4.16
AC_005-G2-002-1L-4,2,1L,AC_005,4,G2,37,AC_156,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-26,14,2023-05-12,NA,5,0,1,5,0.2,1,1.72,16.906,2023-05-12,53.67,3.78,14.1984126984127,-32.46,835.9,2.37
AC_005-G2-008-16R-2,8,16R,AC_005,2,G2,266,AC_156,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,NA,3.15,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,-31.9,404.89,0.97
AC_010-G1-003-8L-1,3,8L,AC_010,1,G1,80,AC_168,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,NA,9.91,3,0,3,3,1,3,4.03,NA,NA,NA,NA,NA,-30.97,389.49,1.01
AC_010-G2-002-15L-3,2,15L,AC_010,3,G2,51,AC_168,TRUE,2022-10-17,2022-10-21,2023-05-26,221,217,2023-05-26,0,2023-05-26,NA,1,0,1,1,1,1,5.3,18.961,2023-05-26,54.091,3.57,15.1515406162465,NA,NA,NA
AC_010-G2-005-6R-5,5,6R,AC_010,5,G2,149,AC_168,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,2023-05-12,20.49,6,0,4,6,0.666666667,4,1.75,23.85,2023-05-12,11.656,0.58,20.09655172413793,-31.32,1840.67,5.41
AC_011-G1-004-3R-2,4,3R,AC_011,2,G1,110,AC_186,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,2023-04-28,20.15,8,1,9,9,1.125,10.125,1.073214286,19.31,2023-04-28,49.471,3.39,14.593215339233037,-32.06,818.73,2.71
AC_011-G1-005-32L-2,5,32L,AC_011,2,G1,175,AC_186,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,NA,3.06,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-31.68,427.68,1.4
AC_011-G1-008-1R-5,8,1R,AC_011,5,G1,251,AC_186,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,2023-05-12,17.44,3,0,0,3,0,0,NA,18.89,2023-05-12,45.403,2.97,15.287205387205386,-31.78,1724.52,4.86
AC_011-G2-001-21R-4,1,21R,AC_011,4,G2,21,AC_186,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,2023-04-28,3.91,2,0,2,2,1,2,1.24,16.678,2023-04-28,30.888,1.34,23.050746268656717,-32.11,416.05,1.63
AC_011-G2-002-2R-5,2,2R,AC_011,5,G2,38,AC_186,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,2023-05-12,NA,1,0,0,1,0,0,NA,22.612,2023-05-12,20.454,1.56,13.111538461538462,NA,NA,NA
AC_011-G2-004-18L-4,4,18L,AC_011,4,G2,125,AC_186,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,2023-04-28,11.88,3,1,5,4,1.666666667,6.666666667,1.916666667,18.672,2023-04-28,NA,NA,NA,-32.6,1273.71,3.31
AC_014-G1-002-27R-5,2,27R,AC_014,5,G1,63,AC_124,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,NA,5.64,3,0,3,3,1,3,1.97,NA,NA,28.231,1.72,16.413372093023256,-32.81,691.77,2.35
AC_014-G1-008-20L-2,8,20L,AC_014,2,G1,270,AC_124,TRUE,2022-10-17,2022-10-21,2023-04-14,179,175,2023-05-12,28,NA,8.92,1,3,1,4,1,4,2.06,NA,NA,NA,NA,NA,-30.34,1103.07,3.23
AC_014-G1-008-30R-2,8,30R,AC_014,2,G1,280,AC_124,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,NA,1.92,0,2,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC_014-G2-004-7L-4,4,7L,AC_014,4,G2,114,AC_124,TRUE,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-26,14,2023-05-12,11.82,7,1,5,8,0.714285714,5.714285714,1.318,20.817,2023-05-12,34.667,2.41,14.384647302904565,-31.97,664.63,2.33
AC_014-G2-008-32R-2,8,32R,AC_014,2,G2,282,AC_124,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,NA,NA,1,1,4,2,4,8,0.9375,NA,NA,NA,NA,NA,NA,NA,NA
