Isotope_Sample_ID,Location,Segment,Recipient,Plant_ID,Gen,Sequence,Donor,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FLR_P,skel_weight_mg,latitude,longitude,Closed_fruits_F,Open_fruits_F,ALL_filled_seeds,Total_fruits_F,Mean_Seeds_per_Fruit,Estimated_Fecundity,Mean_Seed_Mass_mg,Corolla_Diameter_mm,Photo_date,Leaf_area_mm2,Leaf_dry_weight_mg,Specific_leaf_area,d13,Total_C_µg,Sample_Weight_mg
BB_002-G1-0025-74L-5,25,74L,BB_002,5,G1,74,BB_174,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-26,42,2023-03-15,NA,38.31482,-123.06959,0,0,0,0,0,0,NA,26.345,2024-03-15,69.288,3.62,19.140331491712704,NA,NA,NA
BB_002-G1-0051-153L-1,51,153L,BB_002,1,G1,153,BB_174,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-13,15,NA,15.58,38.3143,-123.06956,2,0,2,2,1,2,4.94,NA,NA,71.844,4.62,15.55064935064935,NA,NA,NA
BB_002-G1-0071-211L-4,71,211L,BB_002,4,G1,211,BB_174,TRUE,2022-10-03,2022-10-06,2023-03-30,178,175,2023-04-27,28,2023-03-30,23.28,38.31431,-123.06992,2,0,8,2,4,8,2.83125,NA,NA,NA,NA,NA,NA,NA,NA
BB_002-G2-00101-301L-4,101,301L,BB_002,4,G2,301,BB_174,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,NA,33.73,38.31353,-123.06926,2,0,2,2,1,2,3.94,NA,NA,54.226,2.64,20.540151515151514,NA,NA,NA
BB_002-G2-002-6R-3,2,6R,BB_002,3,G2,6,BB_174,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-27,57,2023-03-15,80.17,38.31514,-123.06908,1,0,0,1,0,0,NA,25.175,2024-03-15,NA,NA,NA,-29.62,1606.69,4.58
BB_002-G2-0083-248R-4,83,248R,BB_002,4,G2,248,BB_174,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-27,56,"3/2/2023,3/15",55.37,38.31412,-123.06958,14,2,67,16,4.785714286,76.57142857,4.244,26.006,2024-03-15,NA,NA,NA,NA,NA,NA
BB_003-G1-0020-60R-2,20,60R,BB_003,2,G1,60,BB_141,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-05-10,70,2023-03-01,349.68,38.31482,-123.06939,17,0,89,17,5.235294118,89,5.2535,22.374,2024-03-01,NA,NA,NA,NA,NA,NA
BB_003-G1-0080-239L-5,80,239L,BB_003,5,G1,239,BB_141,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-27,56,2023-03-02,104.81,38.31424,-123.0656,11,1,34,12,3.090909091,37.09090909,5.550333333,NA,NA,58.524,3.14,18.638216560509555,NA,NA,NA
BB_003-G1-0092-274L-1,92,274L,BB_003,1,G1,274,BB_141,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-02-16,36.71,38.31383,-123.06949,0,0,0,0,0,0,NA,27.519,2024-02-16,47.143,4.68,10.0732905982906,NA,NA,NA
BB_004-G1-0011-32R-5,11,32R,BB_004,5,G1,32,BB_215,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-05-10,42,2023-04-26,118.06,38.31494,-123.06924,13,2,28,15,2.153846154,32.30769231,4.5058,32.39,2024-04-26,74.268,4.7,15.801702127659574,NA,NA,NA
BB_004-G1-0034-101L-4,34,101L,BB_004,4,G1,101,BB_215,TRUE,2022-10-03,2022-10-06,2023-03-16,164,161,2023-04-27,42,2023-03-16,100.31,38.31469,-123.06968,6,0,21,6,3.5,21,3.8025,17.926,2024-03-16,37.498,2.48,15.12016129032258,NA,NA,NA
BB_004-G1-005-13R-4,5,13R,BB_004,4,G1,13,BB_215,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-05-10,70,2023-03-01,NA,38.31506,-123.06911,10,1,28,11,2.8,30.8,3.863571429,20.145,2024-03-01,78.605,4.11,19.125304136253042,NA,NA,NA
BB_004-G2-0074-220L-2,74,220L,BB_004,2,G2,220,BB_215,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-05-25,71,2023-03-30,808.52,38.31428,-123.06982000000001,22,7,182,29,8.272727273,239.9090909,3.660472222,NA,NA,182.844,10.98,16.65245901639344,NA,NA,NA
BB_007-G1-00101-303R-3,101,303R,BB_007,3,G1,303,BB_130,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-27,56,2023-03-02,NA,38.31353,-123.06926,3,0,1,3,0.333333333,1,1,NA,NA,173.108,6.72,25.76011904761905,NA,NA,NA
BB_007-G1-0052-156R-5,52,156R,BB_007,5,G1,156,BB_130,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-05-11,84,2023-02-16,439.8,38.31432,-123.06963,12,1,22,13,1.833333333,23.83333333,4.35325,32.478,2024-02-16,NA,NA,NA,NA,NA,NA
BB_008-G1-0028-82L-1,28,82L,BB_008,1,G1,82,BB_167,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-04-27,71,2023-03-02,258.4,38.31492,-123.06968,7,2,19,9,2.714285714,24.42857143,4.088421053,33.573,2024-03-15,120.002,9.01,13.318756936736959,NA,NA,NA
BB_008-G1-0035-105R-1,35,105R,BB_008,1,G1,105,BB_167,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-05-11,85,2023-03-02,886.88,38.31466,-123.06969,38,4,105,42,2.763157895,116.0526316,5.24362963,24.537,2024-03-02,42.895,3.1,13.837096774193549,NA,NA,NA
BB_009-G1-0014-42R-2,14,42R,BB_009,2,G1,42,BB_188,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-05-10,70,2023-03-01,NA,38.31494,-123.06935,0,0,0,0,0,0,NA,NA,NA,165.344,9.19,17.991730141458106,NA,NA,NA
BB_009-G1-0048-143R-3,48,143R,BB_009,3,G1,143,BB_188,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-02-16,245.68,38.31436,-123.0694,6,2,34,8,5.666666667,45.33333333,3.745970696,24.821,2024-02-15,NA,NA,NA,NA,NA,NA
BB_009-G1-0085-253R-1,85,253R,BB_009,1,G1,253,BB_188,TRUE,2022-10-03,2022-10-06,2023-04-27,206,203,2023-04-27,0,2023-04-27,NA,38.31403,-123.06953,0,0,0,0,0,0,NA,25.195,2024-04-27,NA,NA,NA,NA,NA,NA
BB_009-G2-0012-36L-4,12,36L,BB_009,4,G2,36,BB_188,TRUE,2022-10-03,2022-10-06,2023-04-12,191,188,2023-04-27,15,2023-04-26,NA,38.31496,-123.06927,0,0,0,0,0,0,NA,28.24,2024-04-26,NA,NA,NA,NA,NA,NA
BB_010-G1-0036-107L-1,36,107L,BB_010,1,G1,107,BB_174,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-13,42,2023-03-02,101.06,38.31464,-123.06971,1,1,2,2,2,4,2.25,NA,NA,32.341,2.44,13.254508196721313,NA,NA,NA
BB_010-G1-0043-128L-3,43,128L,BB_010,3,G1,128,BB_174,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-04-26,70,2023-02-15,491.09,38.31451,-123.06965,8,0,2,8,0.25,2,7.195,28.692,2024-02-15,NA,NA,NA,NA,NA,NA
BB_010-G1-009-26L-1,9,26L,BB_010,1,G1,26,BB_174,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-26,56,2023-04-26,27.02,38.31496,-123.06918,0,0,0,0,0,0,NA,31.2,2024-04-26,152.581,10.31,14.799321047526671,-27.3,603.19,2.36
BB_013-G1-0027-80R-5,27,80R,BB_013,5,G1,80,BB_065,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-04-26,70,2023-02-15,517.81,38.31495,-123.06969,5,11,10,16,2,32,3.438125,27.367,2024-02-15,NA,NA,NA,NA,NA,NA
BB_013-G1-0059-175R-1,59,175R,BB_013,1,G1,175,BB_065,TRUE,2022-10-03,2022-10-06,2023-03-16,164,161,2023-04-26,41,2023-03-29,54.07,38.31446,-123.06979,3,0,2,3,0.666666667,2,2.185,26.574,2024-03-29,NA,NA,NA,NA,NA,NA
BB_013-G1-006-16L-4,6,16L,BB_013,4,G1,16,BB_065,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-05-10,42,2023-03-29,43.08,38.31504,-123.06917,4,0,10,4,2.5,10,4.013571429,34.038,2024-03-29,74.938,6.43,11.654432348367031,-29.56,1250.58,4.08
BB_013-G2-0045-135R-4,45,135R,BB_013,4,G2,135,BB_065,TRUE,2022-10-03,2022-10-06,2023-03-16,164,161,2023-05-11,56,2023-03-16,113.74,38.31442,-123.06953,5,0,18,5,3.6,18,4.869107143,31.165,2024-03-16,NA,NA,NA,NA,NA,NA
BB_013-G2-0091-271L-4,91,271L,BB_013,4,G2,271,BB_065,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-02-16,89.09,38.31388,-123.06945,7,0,19,7,2.714285714,19,3.470833333,23.2,2024-02-16,NA,NA,NA,NA,NA,NA
BB_016-G1-0064-192R-5,64,192R,BB_016,5,G1,192,BB_217,TRUE,2022-10-03,2022-10-06,2023-03-16,164,161,2023-05-11,56,2023-03-29,NA,38.31446,-123.06989,0,0,0,0,0,0,NA,26.089,2024-03-29,74.82,3.11,24.05787781350482,NA,NA,NA
BB_016-G1-0088-263L-5,88,263L,BB_016,5,G1,263,BB_217,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-13,29,2023-03-29,31.75,38.31395,-123.06953,2,0,2,2,1,2,2.94,19.5,2024-03-29,NA,NA,NA,NA,NA,NA
BB_017-G1-0024-70L-4,24,70L,BB_017,4,G1,70,BB_176,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-04-27,71,2023-02-15,300.59,38.31481,-123.06961,8,0,25,8,3.125,25,3.490681818,23.628,2024-02-15,63.763,4.11,15.514111922141117,NA,NA,NA
BB_017-G1-005-15L-1,5,15L,BB_017,1,G1,15,BB_176,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-04-26,70,2023-02-15,143.62,38.31506,-123.06911,3,0,11,3,3.666666667,11,2.452708333,21.631,2024-02-15,53.029,4.36,12.162614678899082,-28.82,1337.21,3.8
BB_017-G2-0026-76L-5,26,76L,BB_017,5,G2,76,BB_176,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-03-15,0,2023-03-15,42.13,38.3149,-123.06961,1,0,3,1,3,3,2.443333333,29.092,2024-03-15,NA,NA,NA,NA,NA,NA
BB_017-G2-0062-186L-3,62,186L,BB_017,3,G2,186,BB_176,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-05-25,57,2023-03-29,42.52,38.31448,-123.06985,5,3,17,8,3.4,27.2,6.081388889,21.776,2024-03-29,NA,NA,NA,NA,NA,NA
BB_018-G1-0013-38R-3,13,38R,BB_018,3,G1,38,BB_202,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-05-10,84,2023-02-15,NA,38.31494,-123.06931,18,1,99,19,5.5,104.5,3.707388889,23.131,2024-02-15,153.112,6.17,24.815559157212316,NA,NA,NA
BB_018-G1-0037-109R-3,37,109R,BB_018,3,G1,109,BB_202,TRUE,2022-10-03,2022-10-06,2023-03-16,164,161,2023-04-26,41,2023-03-16,228.06,38.31461,-123.06969,7,6,48,13,6.857142857,89.14285714,1.689666667,32.515,2024-03-16,66.041,4.96,13.314717741935484,NA,NA,NA
BB_018-G1-0094-281L-3,94,281L,BB_018,3,G1,281,BB_202,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-03-29,NA,38.31378,-123.06947,0,0,0,0,0,0,NA,25.35,2024-03-29,NA,NA,NA,NA,NA,NA
BB_018-G2-00106-317L-3,106,317L,BB_018,3,G2,317,BB_202,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-05-11,57,2023-03-15,NA,38.3134,-123.06904,7,0,31,7,4.428571429,31,5.5718125,27.31,2024-03-15,83.642,3.16,26.46898734177215,NA,NA,NA
BB_018-G2-0019-55R-4,19,55R,BB_018,4,G2,55,BB_202,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-05-10,84,2023-02-15,591.34,38.3148,-123.06935,38,5,104,43,2.736842105,117.6842105,3.973,25.21,2024-02-15,130.368,7.61,17.1311432325887,NA,NA,NA
BB_018-G2-0020-59L-1,20,59L,BB_018,1,G2,59,BB_202,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-05-10,42,NA,47.17,38.31482,-123.06939,0,0,0,0,0,0,NA,NA,NA,139.14,6.55,21.24274809160305,NA,NA,NA
BB_019-G1-0023-67L-4,23,67L,BB_019,4,G1,67,BB_066,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-05-10,84,2023-02-15,145.26,38.31483,-123.06957,7,3,47,10,6.714285714,67.14285714,1.888,25.248,2024-02-15,NA,NA,NA,NA,NA,NA
BB_019-G1-0035-104R-4,35,104R,BB_019,4,G1,104,BB_066,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-05-11,85,2023-02-15,591.37,38.31466,-123.06969,15,4,77,19,5.133333333,97.53333333,3.075888889,23.718,2024-02-15,104.584,6.36,16.444025157232705,NA,NA,NA
BB_019-G1-0059-176L-1,59,176L,BB_019,1,G1,176,BB_066,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-26,55,2023-04-13,42.71,38.31446,-123.06979,6,0,0,6,0,0,NA,20.893,2024-04-13,27.666,1.77,15.63050847457627,NA,NA,NA
BB_019-G2-0031-92L-3,31,92L,BB_019,3,G2,92,BB_066,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-05-11,70,2023-03-16,108.61,38.31481,-123.06973,5,1,47,6,9.4,56.4,2.354444444,29.573,2024-03-16,47.24,4.84,9.760330578512397,NA,NA,NA
BB_019-G2-0060-179R-5,60,179R,BB_019,5,G2,179,BB_066,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-27,29,2023-03-29,16.25,38.31443,-123.06982000000001,3,0,5,3,1.666666667,5,3.906,22.941,2024-03-29,NA,NA,NA,NA,NA,NA
BB_019-G2-008-24L-2,8,24L,BB_019,2,G2,24,BB_066,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-05-10,56,2023-03-15,NA,38.31505,-123.06922,12,5,98,17,8.166666667,138.8333333,3.6315,34.878,2024-03-15,77.459,2.97,26.08047138047138,-31.62,1076.02,3.88
BB_020-G1-0031-91L-5,31,91L,BB_020,5,G1,91,BB_115,TRUE,2022-10-03,2022-10-06,2023-04-13,192,189,2023-05-24,41,2023-04-26,NA,38.31481,-123.06973,0,0,0,0,0,0,NA,28.24,2024-04-26,68.534,3.94,17.394416243654824,NA,NA,NA
BB_020-G1-008-23L-4,8,23L,BB_020,4,G1,23,BB_115,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-05-10,56,2023-03-15,355.36,38.31505,-123.06922,23,0,161,23,7,161,1.785031746,27.901,2024-03-15,NA,NA,NA,-30.11,1691.54,5.16
BB_020-G1-009-27R-1,9,27R,BB_020,1,G1,27,BB_115,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-05-24,84,2023-05-24,343.14,38.31496,-123.06918,5,10,30,15,6,90,2.453582621,24.387,2024-05-24,14.644,1.2,12.203333333333333,-28.39,283.59,0.94
BB_020-G2-00103-309L-2,103,309L,BB_020,2,G2,309,BB_115,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-13,29,2023-03-15,14.88,38.31345,-123.06918,0,3,0,3,0,0,NA,24.387,2024-03-15,32.903,2.73,12.052380952380952,NA,NA,NA
BB_020-G2-0027-81R-2,27,81R,BB_020,2,G2,81,BB_115,TRUE,2022-10-03,2022-10-06,2023-03-16,164,161,2023-04-26,41,2023-03-16,39.42,38.31495,-123.06969,1,1,2,2,2,4,2.005,31.317,2024-03-15,NA,NA,NA,NA,NA,NA
BB_020-G2-0053-157L-4,53,157L,BB_020,4,G2,157,BB_115,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-06-08,98,2023-03-02,174.67,38.31435,-123.06964,6,0,7,6,1.166666667,7,2.5515,27.249,2024-03-02,14.342,0.8,17.9275,NA,NA,NA
BB_021-G1-0028-84L-3,28,84L,BB_021,3,G1,84,BB_182,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-05-10,84,2023-03-02,297.98,38.31492,-123.06968,21,8,146,29,6.952380952,201.6190476,2.973857143,20.486,2024-03-02,42.321,2.88,14.694791666666667,NA,NA,NA
BB_021-G1-0040-119R-3,40,119R,BB_021,3,G1,119,BB_182,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-27,56,2023-03-16,123.89,38.31454,-123.06972,11,2,68,13,6.181818182,80.36363636,4.07,23.954,2024-03-16,24.049,1.26,19.086507936507935,NA,NA,NA
BB_021-G1-0091-271R-2,91,271R,BB_021,2,G1,271,BB_182,TRUE,2022-10-03,2022-10-06,2023-04-13,192,189,2023-04-13,0,NA,NA,38.31388,-123.06945,2,0,0,2,0,0,NA,26.334,2024-03-15,NA,NA,NA,NA,NA,NA
BB_021-G2-0035-103L-2,35,103L,BB_021,2,G2,103,BB_182,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-05-11,70,2023-03-16,455.47,38.31466,-123.06969,21,0,212,21,10.0952381,212,2.494320707,22.913,2024-03-16,91.639,3.09,29.65663430420712,NA,NA,NA
BB_024-G1-00107-321R-3,107,321R,BB_024,3,G1,321,BB_125,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-13,42,2023-04-13,NA,38.31355,-123.06918,2,0,13,2,6.5,13,2.312307692,28.68,2024-04-12,68.391,4.09,16.72151589242054,NA,NA,NA
BB_024-G1-0013-37R-1,13,37R,BB_024,1,G1,37,BB_125,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-05-24,84,2023-03-15,1343.67,38.31494,-123.06931,22,3,87,25,3.954545455,98.86363636,4.126777778,29.049,2024-03-15,71.991,5.38,13.381226765799257,NA,NA,NA
BB_024-G1-0068-204L-2,68,204L,BB_024,2,G1,204,BB_125,TRUE,2022-10-03,2022-10-06,2023-03-30,178,175,2023-04-27,28,2023-03-30,88.77,38.31437,-123.06992,3,1,0,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
BB_024-G2-0090-268L-4,90,268L,BB_024,4,G2,268,BB_125,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-03-15,107.32,38.3139,-123.06945,7,1,29,8,4.142857143,33.14285714,3.31275974,NA,NA,43.26,2.38,18.176470588235293,NA,NA,NA
BB_025-G1-0040-118R-4,40,118R,BB_025,4,G1,118,BB_202,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-04-27,71,2023-04-13,48.13,38.31454,-123.06972,3,0,6,3,2,6,1.659,22.316,2024-04-13,50.349,2.75,18.30872727272727,NA,NA,NA
BB_025-G1-0064-190L-3,64,190L,BB_025,3,G1,190,BB_202,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-13,42,2023-03-29,64.98,38.31446,-123.06989,0,1,0,1,0,0,NA,24.253,2024-03-29,NA,NA,NA,NA,NA,NA
BB_025-G1-007-19L-1,7,19L,BB_025,1,G1,19,BB_202,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-26,42,2023-03-15,31.66,38.31505,-123.06921,3,0,9,3,3,9,4.532142857,27.858,2024-03-15,NA,NA,NA,-31.38,1469.42,4.91
BB_027-G1-0044-130L-2,44,130L,BB_027,2,G1,130,BB_122,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-04-27,71,2023-02-15,108.8,38.31449,-123.06962,0,0,0,0,0,0,NA,23.025,2024-02-15,NA,NA,NA,NA,NA,NA
BB_027-G1-0058-174R-4,58,174R,BB_027,4,G1,174,BB_122,TRUE,2022-10-03,2022-10-06,2023-04-27,206,203,2023-04-27,0,2023-04-26,73.33,38.31446,-123.06974,0,0,0,0,0,0,NA,20.518,2024-04-26,57.474,3.08,18.660389610389608,NA,NA,NA
BB_029-G1-0010-29L-5,10,29L,BB_029,5,G1,29,BB_141,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-05-24,84,2023-03-01,153.37,38.31495,-123.06921,8,5,29,13,3.625,47.125,3.051746881,26.132,2024-03-01,23.572,2.57,9.171984435797665,NA,NA,NA
BB_029-G1-009-25R-4,9,25R,BB_029,4,G1,25,BB_141,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-26,42,2023-03-15,124.67,38.31496,-123.06918,12,3,63,15,5.25,78.75,2.240148148,29.362,2024-03-15,29.856,2.06,14.493203883495147,-29.56,798.24,2.03
BB_029-G2-0010-28R-1,10,28R,BB_029,1,G2,28,BB_141,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-05-10,56,2023-03-29,67.2,38.31495,-123.06921,15,0,69,15,4.6,69,4.759666667,30.922,2024-03-29,95.313,4.16,22.911778846153847,NA,NA,NA
BB_029-G2-0040-118L-5,40,118L,BB_029,5,G2,118,BB_141,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-04-27,71,2023-02-15,36.67,38.31454,-123.06972,1,0,1,1,1,1,1.47,22.483,2024-02-15,109.647,6.59,16.63839150227618,NA,NA,NA
BB_029-G2-0076-226L-2,76,226L,BB_029,2,G2,226,BB_141,TRUE,2022-10-03,2022-10-06,NA,NA,NA,NA,NA,NA,11.13,38.31422,-123.0698,2,0,11,2,5.5,11,3.167272727,NA,NA,NA,NA,NA,NA,NA,NA
BB_030-G1-00108-322L-3,108,322L,BB_030,3,G1,322,BB_144,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-03-15,40.21,38.31358,-123.06918,1,1,2,2,2,4,3.345,32.84,2024-03-15,60.394,4.7,12.849787234042552,NA,NA,NA
BB_030-G1-0056-168R-1,56,168R,BB_030,1,G1,168,BB_144,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-27,56,NA,16.05,38.31441,-123.06973,0,0,0,0,0,0,NA,NA,NA,100.207,3.98,25.177638190954774,NA,NA,NA
BB_030-G1-0057-171R-4,57,171R,BB_030,4,G1,171,BB_144,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-05-11,84,2023-02-16,116.37,38.31439,-123.06978,0,0,0,0,0,0,NA,27.43,2024-02-16,56.135,6.71,8.365871833084947,NA,NA,NA
BB_031-G1-0018-52R-1,18,52R,BB_031,1,G1,52,BB_100,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-27,57,2023-03-01,123.72,38.31483,-123.06932,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
BB_031-G1-0083-249L-3,83,249L,BB_031,3,G1,249,BB_100,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-13,29,2023-03-15,34.12,38.31412,-123.06958,0,0,0,0,0,0,NA,27.045,2024-03-15,NA,NA,NA,NA,NA,NA
BB_032-G1-0013-37L-2,13,37L,BB_032,2,G1,37,BB_099,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-05-10,84,2023-02-15,96.52,38.31494,-123.06931,13,8,51,21,3.923076923,82.38461538,2.365777778,23.73,2024-02-15,127.516,8.36,15.253110047846892,NA,NA,NA
BB_032-G1-0067-201L-3,67,201L,BB_032,3,G1,201,BB_099,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-26,69,2023-02-16,30.73,38.31436,-123.06985,0,0,0,0,0,0,NA,22.052,2024-02-16,NA,NA,NA,NA,NA,NA
BB_034-G1-0039-116L-2,39,116L,BB_034,2,G1,116,BB_005,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-04-26,70,2023-02-15,66.81,38.31456,-123.06971,2,3,8,5,4,20,1.68,25.728,2024-02-15,22.723,2.26,10.054424778761062,NA,NA,NA
BB_034-G1-0063-189L-4,63,189L,BB_034,4,G1,189,BB_005,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-26,69,2023-03-02,24.76,38.31446,-123.06985,0,0,0,0,0,0,NA,19.577,2024-02-16,55.406,2.11,26.25876777251185,NA,NA,NA
BB_035-G1-0022-66R-5,22,66R,BB_035,5,G1,66,BB_198,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-04-27,71,2023-03-15,17.6,38.3148,-123.06955,2,0,8,2,4,8,2.68125,34.8,2024-03-15,48.549,2.85,17.03473684210526,NA,NA,NA
BB_037-G1-0034-102L-2,34,102L,BB_037,2,G1,102,BB_141,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-04-27,71,2023-02-15,NA,38.31469,-123.06968,2,4,7,6,3.5,21,9.114285714,28.266,2024-02-15,90.699,6.23,14.558426966292133,NA,NA,NA
BB_037-G1-0054-161R-3,54,161R,BB_037,3,G1,161,BB_141,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-03-02,0,NA,NA,38.31435,-123.06971,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
BB_037-G1-0097-291L-1,97,291L,BB_037,1,G1,291,BB_141,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-05-11,57,2023-03-15,242.85,38.31367,-123.0694,3,0,0,3,0,0,NA,32.367,2024-03-15,77.391,4.87,15.891375770020534,NA,NA,NA
BB_037-G2-0018-53R-3,18,53R,BB_037,3,G2,53,BB_141,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-12,28,2023-03-15,15.1,38.31483,-123.06932,0,0,0,0,0,0,NA,27.961,2024-03-15,NA,NA,NA,NA,NA,NA
BB_039-G1-0039-117L-5,39,117L,BB_039,5,G1,117,BB_171,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-05-11,70,2023-03-16,NA,38.31456,-123.06971,5,1,6,6,1.2,7.2,3.822222222,27.67,2024-03-16,54.116,1.5,36.077333333333335,NA,NA,NA
BB_039-G1-0043-127R-2,43,127R,BB_039,2,G1,127,BB_171,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-03-29,27,2023-03-02,10.66,38.31451,-123.06965,4,0,20,4,5,20,2.1125,15.7,2024-03-02,NA,NA,NA,NA,NA,NA
BB_039-G1-0091-272R-2,91,272R,BB_039,2,G1,272,BB_171,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-13,42,"3/2/2023, 3/15",100.49,38.31388,-123.06945,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
BB_039-G2-0010-30L-4,10,30L,BB_039,4,G2,30,BB_171,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-26,63.76,38.31495,-123.06921,4,0,13,4,3.25,13,5.110375,24.47,2024-04-26,61.324,5.31,11.548775894538608,NA,NA,NA
BB_039-G2-0032-94L-1,32,94L,BB_039,1,G2,94,BB_171,TRUE,2022-10-03,2022-10-06,2023-03-16,164,161,2023-04-27,42,2023-03-16,383.81,38.3148,-123.06974,6,6,23,12,3.833333333,46,1.539732143,26.884,2024-03-16,NA,NA,NA,NA,NA,NA
