Population,Field_Year,Generation,Block,Transect,Sequence,Left_Or_Right,Donor,Recipient,Plant_ID,Total_Closed_Fruits,Total_Fruits,Tot_Seed_Num_ClosedFt,Mean_Ind_Seed_Mass_mg,Mean_Seeds_per_Fruit,Lifetime_Fecundity,Stem_Biomass,Corolla_Diameter,Corolla_Area,Leaf_Area_mm2,FFD,LFD,fl_duration
Blue Oak,2022,G1,1,1,1,NA,BO_201,BO_130,7,15,37,12,5.175,0.8,29.6,194.14,23.962,351.332,NA,4/1/22,5/25/22,54
Blue Oak,2022,G1,1,1,2,NA,BO_192,BO_166,6,1,1,0,NA,0,0,NA,NA,NA,48.87,4/13/22,5/20/22,37
Blue Oak,2022,G1,1,1,3,NA,BO_005,BO_019,7,0,0,0,NA,0,0,NA,NA,NA,NA,4/8/22,4/8/22,0
Blue Oak,2022,G1,1,1,4,NA,BO_070,BO_066,7,1,1,0,NA,0,0,NA,24.515,412.063,NA,4/13/22,5/12/22,29
Blue Oak,2022,G1,1,1,5,NA,BO_038,BO_137,5,0,0,0,NA,0,0,NA,17.585,145.417,NA,4/21/22,5/12/22,21
Blue Oak,2022,G1,1,1,6,NA,BO_170,BO_045,5,0,0,0,NA,0,0,NA,19.797,NA,NA,4/21/22,5/20/22,29
Blue Oak,2022,G1,1,1,7,NA,BO_001,BO_048,3,6,6,0,NA,0,0,96.62,23.105,355.54,NA,4/8/22,5/12/22,34
Blue Oak,2022,G1,1,1,9,NA,BO_033,BO_099,2,5,12,8,3.71,1.6,19.2,NA,NA,NA,NA,4/21/22,5/20/22,29
Blue Oak,2022,G1,1,1,10,NA,BO_065,BO_115,5,0,0,0,NA,0,0,NA,26.278,381.84,49.162,4/28/22,5/20/22,22
Blue Oak,2022,G1,1,1,11,NA,BO_106,BO_104,4,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
Blue Oak,2022,G1,1,1,12,NA,BO_040,BO_029,1,2,3,3,2.943333333,1.5,4.5,NA,NA,NA,NA,4/21/22,5/20/22,29
Blue Oak,2022,G1,1,1,13,NA,BO_096,BO_012,1,0,0,0,NA,0,0,NA,20.25,246.748,144.457,4/21/22,5/12/22,21
