Isotope_Sample_ID,Transect,Segment,Recipient,Plant_ID,Gen,Sequence,Donor,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FLR_P,skel_weight_mg,Closed_fruits_F,Open_fruits_F,ALL_filled_seeds,Total_fruits_F,Mean_Seeds_per_Fruit,Estimated_Fecundity,Mean_Seed_Mass_mg,Corolla_Diameter_mm,Photo_date,Leaf_area_mm2,Leaf_dry_weight_mg,Specific_leaf_area,d13,Total_C_µg,Sample_Weight_mg
BO_001-G1-005-29L-5,5,29L,BO_001,5,G1,153,BO_109,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-05,NA,2,0,3,2,1.5,3,1.62,19.62,2023-05-05,NA,NA,NA,NA,NA,NA
BO_001-G2-0010-22L-3,10,22L,BO_001,3,G2,301,BO_109,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,11.07,1,3,4,4,4,16,1.74,NA,NA,30.449,1.44,21.14513888888889,NA,NA,NA
BO_001-G2-006-11R-3,6,11R,BO_001,3,G2,179,BO_109,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-05,NA,1,1,8,2,8,16,2.41375,19.213,2023-05-05,NA,NA,NA,-29.72,478.29,1.81
BO_004-G1-005-8L-3,5,8L,BO_004,3,G1,132,BO_143,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,NA,12.15,1,0,4,1,4,4,3.3675,NA,NA,27.377,2.01,13.62039800995025,-29.14,1052.64,3.22
BO_008-G1-0010-12R-5,10,12R,BO_008,5,G1,291,BO_188,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,2023-04-21,96.9,7,2,59,9,8.428571429,75.85714286,3.205,27.258,2023-04-21,89.51,6.54,13.686544342507647,NA,NA,NA
BO_008-G1-008-20L-3,8,20L,BO_008,3,G1,244,BO_188,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,NA,20.53,5,0,4,5,0.8,4,5.305,NA,NA,56.588,4.67,12.117344753747323,-28.7,585.75,1.88
BO_008-G1-008-21L-2,8,21L,BO_008,2,G1,245,BO_188,TRUE,2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,8.57,0,1,0,1,0,0,NA,NA,NA,38.281,3.18,12.038050314465409,-29.07,1217.01,2.92
BO_008-G2-005-6R-5,5,6R,BO_008,5,G2,130,BO_188,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-05,1.07,0,0,0,0,0,0,NA,22.792,2023-05-05,NA,NA,NA,NA,NA,NA
BO_008-G2-008-4L-1,8,4L,BO_008,1,G2,228,BO_188,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-05,23.8,3,0,12,3,4,12,0.841666667,32.552,2023-05-05,65.574,5.63,11.647246891651864,-29.97,2009.13,5.76
BO_009-G1-009-25R-5,9,25R,BO_009,5,G1,274,BO_022,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,2023-05-05,31.3,3,1,6,4,2,8,4.936666667,23.091,2023-04-21,36.495,1.86,19.62096774193548,-28.95,1641.04,5.38
BO_012-G1-0010-14R-3,10,14R,BO_012,3,G1,293,BO_096,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-05,12.35,0,3,0,3,0,0,NA,17.626,2023-05-05,31.505,1.81,17.406077348066297,NA,NA,NA
BO_012-G1-007-10L-1,7,10L,BO_012,1,G1,208,BO_096,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,2023-04-21,7.96,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,-27.98,646.79,2.52
BO_013-G1-0010-8R-4,10,8R,BO_013,4,G1,287,BO_119,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
BO_013-G1-005-8R-1,5,8R,BO_013,1,G1,132,BO_119,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-05,7.15,1,0,2,1,2,2,4.015,16.539,2023-05-05,18.634,1.15,16.203478260869566,-30.62,785.87,3.07
BO_014-G1-009-19L-5,9,19L,BO_014,5,G1,268,BO_065,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,7.83,2,2,7,4,3.5,14,3.587142857,NA,NA,40.731,2.65,15.370188679245285,-30.25,1033.38,3.09
BO_015-G1-003-2R-4,3,2R,BO_015,4,G1,73,BO_199,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,2023-05-05,22.34,0,0,0,0,0,0,NA,29.725,2023-05-05,NA,NA,NA,-30.39,1686.63,5.21
BO_015-G2-002-22L-1,2,22L,BO_015,1,G2,62,BO_199,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-05,11.43,3,3,14,6,4.666666667,28,1.641212121,25.956,2023-05-05,NA,NA,NA,-29.08,735.65,2.04
BO_015-G2-006-11L-2,6,11L,BO_015,2,G2,179,BO_199,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,NA,NA,2,0,11,2,5.5,11,2.096363636,NA,NA,38.62,2.23,17.318385650224215,NA,NA,NA
BO_018-G1-0010-30R-4,10,30R,BO_018,4,G1,309,BO_199,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-05,NA,7,0,23,7,3.285714286,23,0,26.407,2023-05-05,37.418,2.67,14.014232209737829,NA,NA,NA
BO_018-G2-006-25L-2,6,25L,BO_018,2,G2,192,BO_199,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,NA,8.99,2,0,0,2,0,0,NA,NA,NA,NA,NA,NA,-30.69,666.6,2.05
BO_018-G2-009-30R-1,9,30R,BO_018,1,G2,279,BO_199,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,2023-05-17,NA,0,0,0,0,0,0,NA,20.016,2023-05-17,30.43,1.62,18.78395061728395,NA,NA,NA
BO_019-G1-0010-9L-5,10,9L,BO_019,5,G1,288,BO_005,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,2023-04-21,NA,0,1,0,1,0,0,NA,23.703,2023-04-21,16.294,0.96,16.972916666666666,NA,NA,NA
BO_019-G1-005-22L-3,5,22L,BO_019,3,G1,146,BO_005,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-06-01,NA,3,0,2,3,0.666666667,2,8.815,22.343,2023-06-02,NA,NA,NA,-28.4,1240.95,3.71
BO_019-G1-006-30L-5,6,30L,BO_019,5,G1,197,BO_005,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,2023-04-21,4.21,0,0,0,0,0,0,NA,24.368,2023-04-21,15.692,1.44,10.897222222222222,NA,NA,NA
BO_021-G2-006-25R-5,6,25R,BO_021,5,G2,192,BO_192,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,2023-04-21,32.97,8,4,22,12,2.75,33,3.111857143,22.657,2023-04-21,88.732,6.74,13.164985163204747,-29.04,522.23,1.57
