Population,Field_Year,Generation,Block,Transect,Sequence,Left_Or_Right,Donor,Recipient,Plant_ID,Total_Closed_Fruits,Total_Fruits,Tot_Seed_Num(ClosedFt),Mean_Ind_Seed_Mass_mg,Mean_Seeds_per_Fruit,Lifetime_Fecundity,Stem_Biomass,Corolla_Diameter,Corolla_Area,Leaf_Area_mm2,FFD,LFD,fl_duration
Hastings,2022,G1,1,1,1,NA,HR_008,HR_058,2,28,29,11,3.784583333,0.392857143,11.39285714,123.09,22.031,288.273,33.764,3/31/22,4/26/22,26
Hastings,2022,G1,1,1,2,NA,HR_196,HR_183,2,16,16,11,3.638095238,0.6875,11,NA,19.275,233.033,35.62,3/31/22,4/26/22,26
Hastings,2022,G1,1,1,3,NA,HR_085,HR_176,7,8,11,5,3.128888889,0.625,6.875,28.08,23.45,328.36,21.408,3/24/22,4/26/22,33
Hastings,2022,G1,1,1,4,NA,HR_006,HR_146,8,0,0,0,NA,0,0,NA,20.472,237.198,65.649,3/24/22,4/26/22,33
Hastings,2022,G1,1,1,5,NA,HR_108,HR_177,3,14,14,37,1.929865591,2.642857143,37,39.97,24.48,329.487,45.701,3/24/22,4/20/22,27
Hastings,2022,G1,1,1,6,NA,HR_074,HR_115,6,12,13,24,2.359583333,2,26,62.48,NA,NA,41.022,3/31/22,4/26/22,26
Hastings,2022,G1,1,1,7,NA,HR_180,HR_036,4,8,9,8,3.395,1,9,31.12,NA,NA,39.708,3/31/22,4/14/22,14
Hastings,2022,G1,1,1,8,NA,HR_160,HR_033,5,18,24,21,2.721111111,1.166666667,28,87.33,19.99,261.504,23.203,3/24/22,4/26/22,33
Hastings,2022,G1,1,1,9,NA,HR_070,HR_061,2,19,25,22,4.270396825,1.157894737,28.94736842,61.48,23.06,382.745,39.274,3/24/22,4/26/22,33
Hastings,2022,G1,1,1,10,NA,HR_133,HR_158,4,27,33,69,2.1606,2.555555556,84.33333333,85.29,14.89,143.178,49.817,3/31/22,4/26/22,26
Hastings,2022,G1,1,1,11,NA,HR_108,HR_175,6,9,13,14,2.393571429,1.555555556,20.22222222,51.98,NA,NA,32.396,3/31/22,4/20/22,20
Hastings,2022,G1,1,1,12,NA,HR_164,HR_005,4,25,29,42,3.42952381,1.68,48.72,86.19,23.835,289.23,17.231,3/31/22,5/5/22,35
Hastings,2022,G1,1,1,13,NA,HR_171,HR_057,4,2,5,2,2.855,1,5,21.18,23.514,326.999,28.997,3/31/22,4/20/22,20
Hastings,2022,G1,1,1,14,NA,HR_196,HR_170,5,25,27,53,2.584415205,2.12,57.24,61.78,23.471,290.695,27.191,3/31/22,4/26/22,26
Hastings,2022,G1,1,1,15,NA,HR_148,HR_114,7,8,8,5,4.184,0.625,5,24.14,19.156,227.766,12.188,4/7/22,4/20/22,13
Hastings,2022,G1,1,1,16,NA,HR_069,HR_108,1,13,13,21,3.101380952,1.615384615,21,32.08,19.131,244.052,22.542,4/7/22,4/26/22,19
Hastings,2022,G1,1,1,17,NA,HR_175,HR_196,5,28,28,62,2.05463964,2.214285714,62,120.03,22.906,316.274,47.675,4/7/22,4/26/22,19
Hastings,2022,G1,1,1,18,NA,HR_131,HR_046,6,16,17,6,3.45,0.375,6.375,59.37,20.159,244.543,33.773,4/7/22,5/5/22,28
Hastings,2022,G1,1,1,19,NA,HR_095,HR_020,8,4,4,7,1.915714286,1.75,7,14.53,NA,NA,34.761,4/7/22,4/26/22,19
Hastings,2022,G1,1,1,20,NA,HR_108,HR_016,4,7,7,0,NA,0,0,34.86,20.316,260.823,21.4,4/7/22,4/26/22,19
Hastings,2022,G1,1,1,21,NA,HR_200,HR_010,5,6,9,1,1.57,0.166666667,1.5,NA,17.534,178.511,NA,4/7/22,4/26/22,19
Hastings,2022,G1,1,1,22,NA,HR_164,HR_041,3,2,2,8,1.2875,4,8,NA,24.954,312.341,NA,4/14/22,4/20/22,6
Hastings,2022,G1,1,1,23,NA,HR_168,HR_148,5,5,6,2,0.905,0.4,2.4,57.8,18.034,NA,NA,4/14/22,4/26/22,12
Hastings,2022,G1,1,1,24,NA,HR_121,HR_105,7,3,4,13,1.634615385,4.333333333,17.33333333,NA,18.449,NA,NA,4/20/22,5/5/22,15
Hastings,2022,G1,1,1,25,NA,HR_062,HR_134,4,7,7,2,1.805,0.285714286,2,14.88,21.546,295.681,NA,4/14/22,4/26/22,12
Hastings,2022,G1,1,1,28,NA,HR_005,HR_040,5,5,6,2,2.55,0.4,2.4,20.98,25.65,NA,16.412,4/7/22,4/26/22,19
Hastings,2022,G1,1,1,29,NA,HR_149,HR_007,6,7,9,8,2.29125,1.142857143,10.28571429,29.31,22.207,289.675,14.302,4/7/22,4/26/22,19
Hastings,2022,G1,1,1,30,NA,HR_131,HR_113,5,27,27,6,2.31,0.222222222,6,94.51,22.96,292.302,19.067,4/7/22,5/11/22,34
Hastings,2022,G1,1,1,31,NA,HR_157,HR_095,8,8,8,6,1.733333333,0.75,6,30.01,26.319,397.877,50.648,4/14/22,4/26/22,12
Hastings,2022,G1,1,1,32,NA,HR_131,HR_049,3,11,11,4,2.3625,0.363636364,4,37.05,20.661,248.931,55.611,4/7/22,5/11/22,34
Hastings,2022,G1,1,1,33,NA,HR_062,HR_136,3,13,13,3,3.966666667,0.230769231,3,NA,24.136,361.178,57.028,4/14/22,4/26/22,12
Hastings,2022,G1,1,1,34,NA,HR_110,HR_032,4,9,11,6,2.22375,0.666666667,7.333333333,78.14,22.4,326.296,77.728,4/7/22,5/5/22,28
Hastings,2022,G1,1,1,35,NA,HR_057,HR_110,6,7,9,8,1.77375,1.142857143,10.28571429,44.98,24.509,349.93,47.171,4/7/22,4/26/22,19
Hastings,2022,G1,1,1,36,NA,HR_059,HR_011,8,11,11,16,1.85375,1.454545455,16,49.68,19.166,212.083,NA,4/7/22,4/26/22,19
Hastings,2022,G1,1,1,37,NA,HR_095,HR_178,6,10,17,10,1.389285714,1,17,35.57,25.146,368.228,59.297,4/7/22,5/5/22,28
Hastings,2022,G1,1,1,38,NA,HR_155,HR_047,2,9,9,8,2.195833333,0.888888889,8,NA,20.479,NA,84.131,4/7/22,4/26/22,19
Hastings,2022,G1,1,1,39,NA,HR_070,HR_123,5,8,10,4,3.021666667,0.5,5,29.31,27.037,468.834,20.625,4/7/22,4/26/22,19
Hastings,2022,G1,1,1,40,NA,HR_053,HR_092,1,9,9,1,2.25,0.111111111,1,40.84,25.389,291.844,30.692,4/14/22,5/5/22,21
Hastings,2022,G1,1,1,41,NA,HR_110,HR_039,1,5,5,7,2.05,1.4,7,11.93,22.176,276.584,10.351,4/7/22,4/26/22,19
Hastings,2022,G1,1,1,42,NA,HR_160,HR_173,5,1,1,0,NA,0,0,5.2,24.879,383.173,51.697,4/14/22,4/26/22,12
Hastings,2022,G1,1,1,43,NA,HR_189,HR_018,8,0,0,0,NA,0,0,NA,23.408,324.232,58.613,4/7/22,4/26/22,19
Hastings,2022,G1,1,1,44,NA,HR_115,HR_026,4,3,3,1,1.31,0.333333333,1,NA,NA,NA,25.196,4/14/22,4/20/22,6
Hastings,2022,G1,1,1,45,NA,HR_110,HR_037,5,8,8,11,2.213636364,1.375,11,69.81,25.619,336.521,45.424,4/7/22,5/5/22,28
Hastings,2022,G1,1,1,46,NA,HR_006,HR_162,2,10,10,0,NA,0,0,57.18,19.506,235.732,86.98,4/14/22,5/5/22,21
Hastings,2022,G1,1,2,47,NA,HR_100,HR_195,3,7,8,11,3.360833333,1.571428571,12.57142857,30.61,12.235,93.653,37.647,4/14/22,4/20/22,6
Hastings,2022,G1,1,2,48,NA,HR_088,HR_014,6,0,0,0,NA,0,0,NA,23.013,335.051,32.672,3/31/22,4/20/22,20
Hastings,2022,G1,1,2,49,NA,HR_148,HR_050,1,11,12,14,4.306944444,1.272727273,15.27272727,36.32,22.099,305.403,46.373,3/24/22,4/14/22,21
Hastings,2022,G1,1,2,50,NA,HR_175,HR_027,8,0,0,0,NA,0,0,NA,23.37,332.921,NA,3/24/22,4/20/22,27
Hastings,2022,G1,1,2,51,NA,HR_157,HR_085,4,30,35,42,2.782928571,1.4,49,118.36,26.863,464.299,38.244,3/24/22,4/26/22,33
Hastings,2022,G1,1,2,52,NA,HR_141,HR_015,6,5,12,5,1.63,1,12,80.49,23.131,313.631,71.504,3/31/22,4/26/22,26
Hastings,2022,G1,1,2,53,NA,HR_034,HR_112,3,31,35,67,2.029832201,2.161290323,75.64516129,123.33,23.737,351.041,77.543,3/24/22,4/26/22,33
Hastings,2022,G1,1,2,54,NA,HR_005,HR_149,1,29,29,5,2.6925,0.172413793,5,93.27,26.362,423.887,84.294,4/7/22,5/5/22,28
Hastings,2022,G1,1,2,55,NA,HR_027,HR_119,5,14,15,29,3.12034188,2.071428571,31.07142857,53.68,24.9,383.697,44.178,3/24/22,4/20/22,27
Hastings,2022,G1,1,2,56,NA,HR_085,HR_107,6,18,18,14,1.600555556,0.777777778,14,76.26,23.548,388.177,56.903,3/31/22,5/5/22,35
Hastings,2022,G1,1,2,57,NA,HR_133,HR_072,7,19,19,20,2.379423077,1.052631579,20,115.22,15.99,NA,40.948,3/24/22,4/26/22,33
Hastings,2022,G1,1,2,58,NA,HR_133,HR_161,8,21,23,63,1.454066667,3,69,66.77,19.962,257.983,32.002,3/24/22,4/26/22,33
Hastings,2022,G1,1,2,59,NA,HR_085,HR_035,6,6,6,4,4.485,0.666666667,4,29.95,21.062,278.717,57.312,3/24/22,4/20/22,27
Hastings,2022,G1,1,2,60,NA,HR_090,HR_126,7,21,21,36,2.084794255,1.714285714,36,58.09,17.893,180.732,53.651,3/24/22,4/26/22,33
