Isotope_Sample_ID,Transect,Segment,Recipient,Plant_ID,Gen,Sequence,Donor,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FLR_P,skel_weight_mg,Closed_fruits_F,Open_fruits_F,ALL_filled_seeds,Total_fruits_F,Mean_Seeds_per_Fruit,Estimated_Fecundity,Mean_Seed_Mass_mg,Corolla_Diameter_mm,Photo_date,Leaf_area_mm2,Leaf_dry_weight_mg,Specific_leaf_area,d13,Total_C_µg,Sample_Weight_mg
HR_001-G1-002-12L-3,2,12L,HR_001,3,G1,57,HR_171,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,2023-04-05,NA,1,0,1,1,1,1,1.3,20.646,2024-04-05,90.49,4.25,21.29176470588235,NA,NA,NA
HR_001-G1-008-2R-2,8,2R,HR_001,2,G1,317,HR_171,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,2023-04-05,15.39,5,0,13,5,2.6,13,1.540769231,22.443,2024-04-05,NA,NA,NA,-30.69,1932.69,4.97
HR_001-G1-009-2L-3,9,2L,HR_001,3,G1,362,HR_171,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,2023-04-05,6.56,3,3,7,6,2.333333333,14,1.798571429,24.239,2024-04-05,NA,NA,NA,-30.32,616.4,1.48
HR_001-G2-004-17L-1,4,17L,HR_001,1,G2,152,HR_171,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,2023-04-05,3.43,2,0,1,2,0.5,1,2.12,19.463,2024-04-05,14.697,0.93,15.80322580645161,-31.38,374,1.94
HR_001-G2-005-39R-5,5,39R,HR_001,5,G2,219,HR_171,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,2023-04-05,1.33,1,0,0,1,0,0,NA,20.997,2024-04-05,12.353,0.66,18.716666666666665,NA,NA,NA
HR_001-G2-008-9R-4,8,9R,HR_001,4,G2,324,HR_171,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,2023-04-05,2.41,0,1,0,1,0,0,NA,22.11,2024-04-05,NA,NA,NA,NA,NA,NA
HR_004-G1-006-34L-3,6,34L,HR_004,3,G1,259,HR_135,TRUE,2022-11-10,2022-11-13,2023-03-23,133,130,2023-04-05,13,2023-03-23,5.89,1,5,2,6,2,12,2.895,22.995,2024-03-23,NA,NA,NA,-30.91,1420.93,4.79
HR_004-G1-008-28L-2,8,28L,HR_004,2,G1,343,HR_135,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,NA,4.05,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,-30.06,440.71,2.08
HR_004-G2-004-43L-3,4,43L,HR_004,3,G2,178,HR_135,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,2023-04-05,61.57,9,6,32,15,3.555555556,53.33333333,2.690625,23.517,2024-04-05,NA,NA,NA,-29.55,1420.4,3.23
HR_004-G2-005-24R-5,5,24R,HR_004,5,G2,204,HR_135,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,NA,10.66,2,2,5,4,2.5,10,2.34,NA,NA,NA,NA,NA,-29.65,1026.03,3.34
HR_004-G2-006-19R-4,6,19R,HR_004,4,G2,244,HR_135,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,2023-04-05,10.74,3,0,11,3,3.666666667,11,2.404545455,22.381,2024-04-05,NA,NA,NA,-30.78,1576.45,5.33
HR_005-G1-001-8R-1,1,8R,HR_005,1,G1,8,HR_164,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,2023-04-05,7.9,2,1,1,3,0.5,1.5,4.99,21.442,2024-04-05,NA,NA,NA,-31.37,1272.91,4.08
HR_005-G1-004-33R-4,4,33R,HR_005,4,G1,168,HR_164,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,2023-04-20,NA,0,0,0,0,0,0,NA,25.262,2024-04-20,11.984,0.63,19.022222222222222,-30.34,551.7,0.76
HR_005-G1-008-13L-4,8,13L,HR_005,4,G1,328,HR_164,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,2023-04-20,11.49,1,2,2,3,2,6,0.715,24.79,2024-04-20,41.275,2.25,18.344444444444445,-30.48,1637.93,5.28
HR_005-G2-001-35L-5,1,35L,HR_005,5,G2,35,HR_164,TRUE,2022-11-10,2022-11-13,NA,NA,NA,NA,NA,NA,1.64,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
HR_005-G2-001-36R-3,1,36R,HR_005,3,G2,36,HR_164,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,2023-04-20,2.98,1,0,4,1,4,4,1.3475,20.367,2024-04-20,NA,NA,NA,NA,NA,NA
